project_name,algorithm,file_id,f1,G,MCC
camel-1.0,ibea,camel-1.0_exp_44_train,0.204545455,0.343952862,0.126773138
camel-1.0,ibea,camel-1.0_exp_45_train,0.103004292,0.234194233,0.124251053
camel-1.0,ibea,camel-1.0_exp_46_train,0.099585062,0.23176098,0.053971457
camel-1.0,ibea,camel-1.0_exp_47_train,0.226277372,0.365558907,0.121605111
camel-1.0,ibea,camel-1.0_exp_48_train,0.12605042,0.261159654,0.132206428
camel-1.0,ibea,camel-1.0_exp_49_train,0.246575342,0.386858972,0.093521953
camel-1.0,ibea,camel-1.0_exp_4_train,0.288461538,0.425709692,0.102678571
camel-1.0,ibea,camel-1.0_exp_50_train,0.320241692,0.454490694,0.106573542
camel-1.0,ibea,camel-1.0_exp_51_train,0.094827586,0.224223907,0.114124949
camel-1.0,ibea,camel-1.0_exp_52_train,0.235294118,0.372931433,0.143861423
camel-1.0,ibea,camel-1.0_exp_53_train,0.284697509,0.416383123,0.188047088
camel-1.0,ibea,camel-1.0_exp_54_train,0.086580087,0.213789107,0.103484536
camel-1.0,ibea,camel-1.0_exp_55_train,0.069868996,0.191218791,0.080338375
camel-1.0,ibea,camel-1.0_exp_56_train,0.212927757,0.35120729,0.145439671
camel-1.0,ibea,camel-1.0_exp_57_train,0.069565217,0.190971578,0.069341091
camel-1.0,ibea,camel-1.0_exp_58_train,0.239130435,0.377166831,0.134637841
camel-1.0,ibea,camel-1.0_exp_59_train,0.3125,0.446759137,0.119124149
camel-1.0,ibea,camel-1.0_exp_5_train,0.199203187,0.335839502,0.185401019
camel-1.0,ibea,camel-1.0_exp_60_train,0.308219178,0.438015974,0.187043906
camel-1.0,ibea,camel-1.0_exp_61_train,0.127118644,0.261837112,0.152113468
camel-1.0,ibea,camel-1.0_exp_62_train,0.374301676,0.500837828,0.134450861
camel-1.0,ibea,camel-1.0_exp_63_train,0.112554113,0.244700057,0.169947843
camel-1.0,ibea,camel-1.0_exp_64_train,0.255172414,0.39386295,0.112579158
camel-1.0,ibea,camel-1.0_exp_65_train,0.238596491,0.378620093,0.10278658
camel-1.0,ibea,camel-1.0_exp_66_train,0.321981424,0.454932238,0.126224189
camel-1.0,ibea,camel-1.0_exp_67_train,0.094420601,0.223934025,0.103405402
camel-1.0,ibea,camel-1.0_exp_68_train,0.318318318,0.453111357,0.099679575
camel-1.0,ibea,camel-1.0_exp_69_train,0.278745645,0.41296542,0.158118803
camel-1.0,ibea,camel-1.0_exp_6_train,0.177419355,0.315045378,0.163623323
camel-1.0,ibea,camel-1.0_exp_70_train,0.176706827,0.314632745,0.155876347
camel-1.0,ibea,camel-1.0_exp_71_train,0.297577855,0.428764286,0.180435394
camel-1.0,ibea,camel-1.0_exp_72_train,0.183206107,0.323844536,0.099516705
camel-1.0,ibea,camel-1.0_exp_73_train,0.110638298,0.243441951,0.12344663
camel-1.0,ibea,camel-1.0_exp_74_train,0.135021097,0.270424207,0.160707475
camel-1.0,ibea,camel-1.0_exp_75_train,0.300341297,0.431920337,0.171995855
camel-1.0,ibea,camel-1.0_exp_76_train,0.317365269,0.452420111,0.096270477
camel-1.0,ibea,camel-1.0_exp_77_train,0.205882353,0.346944333,0.096324605
camel-1.0,ibea,camel-1.0_exp_78_train,0.203007519,0.343024513,0.115546046
camel-1.0,ibea,camel-1.0_exp_79_train,0.201550388,0.339790073,0.150141002
camel-1.0,ibea,camel-1.0_exp_7_train,0.103896104,0.234798606,0.147793407
camel-1.0,ibea,camel-1.0_exp_80_train,0.154471545,0.292394621,0.132368543
camel-1.0,ibea,camel-1.0_exp_81_train,0.23880597,0.374952756,0.166216497
camel-1.0,ibea,camel-1.0_exp_82_train,0.192307692,0.331859696,0.12426081
camel-1.0,ibea,camel-1.0_exp_83_train,0.119148936,0.252958683,0.143198091
camel-1.0,ibea,camel-1.0_exp_84_train,0.120689655,0.25393725,0.178532099
camel-1.0,ibea,camel-1.0_exp_85_train,0.227758007,0.368342901,0.099072279
camel-1.0,ibea,camel-1.0_exp_86_train,0.07079646,0.191958518,0.120167268
camel-1.0,ibea,camel-1.0_exp_87_train,0.168674699,0.306995166,0.140707842
camel-1.0,ibea,camel-1.0_exp_88_train,0.168,0.306590959,0.133430271
camel-1.0,ibea,camel-1.0_exp_89_train,0.087719298,0.214616147,0.141740126
camel-1.0,ibea,camel-1.0_exp_8_train,0.062222222,0.179560752,0.108213951
camel-1.0,ibea,camel-1.0_exp_90_train,0.31511254,0.447472325,0.144338779
camel-1.0,ibea,camel-1.0_exp_91_train,0.137096774,0.275121941,0.08667176
camel-1.0,ibea,camel-1.0_exp_92_train,0.176245211,0.317025993,0.092063362
camel-1.0,ibea,camel-1.0_exp_93_train,0.078947368,0.203341558,0.117033132
camel-1.0,ibea,camel-1.0_exp_94_train,0.164609053,0.301561194,0.173630739
camel-1.0,ibea,camel-1.0_exp_95_train,0.275167785,0.412264156,0.119406183
camel-1.0,ibea,camel-1.0_exp_96_train,0.407310705,0.528322013,0.143755657
camel-1.0,ibea,camel-1.0_exp_97_train,0.15,0.286457367,0.167201639
camel-1.0,ibea,camel-1.0_exp_98_train,0.141078838,0.277664376,0.14050797
camel-1.0,ibea,camel-1.0_exp_99_train,0.087719298,0.214616147,0.141740126
camel-1.0,ibea,camel-1.0_exp_9_train,0.278911565,0.414606585,0.136570285
camel-1.2,ibea,camel-1.2_exp_0_train,0.433260394,0.694781027,0.302755809
camel-1.2,ibea,camel-1.2_exp_10_train,0.430555556,0.616397541,0.317935698
camel-1.2,ibea,camel-1.2_exp_11_train,0.38490566,0.564217859,0.277568125
camel-1.2,ibea,camel-1.2_exp_12_train,0.421052632,0.67265097,0.282959687
camel-1.2,ibea,camel-1.2_exp_13_train,0.390070922,0.580109524,0.272692929
camel-1.2,ibea,camel-1.2_exp_14_train,0.387665198,0.536271532,0.320415487
camel-1.2,ibea,camel-1.2_exp_15_train,0.438746439,0.66091369,0.309944597
camel-1.2,ibea,camel-1.2_exp_16_train,0.4,0.560557518,0.312910583
camel-1.2,ibea,camel-1.2_exp_17_train,0.378600823,0.542724711,0.289666702
camel-1.2,ibea,camel-1.2_exp_18_train,0.439628483,0.646210206,0.316366375
camel-1.2,ibea,camel-1.2_exp_19_train,0.341708543,0.477527029,0.319735015
camel-1.2,ibea,camel-1.2_exp_1_train,0.358565737,0.533202485,0.258008429
camel-1.2,ibea,camel-1.2_exp_20_train,0.396103896,0.601386562,0.267788687
camel-1.2,ibea,camel-1.2_exp_21_train,0.35862069,0.559235966,0.230697719
camel-1.2,ibea,camel-1.2_exp_22_train,0.430976431,0.622858233,0.314388094
camel-1.2,ibea,camel-1.2_exp_23_train,0.41025641,0.665790187,0.267987081
camel-1.2,ibea,camel-1.2_exp_24_train,0.406852248,0.671267465,0.264574397
camel-1.2,ibea,camel-1.2_exp_25_train,0.403225806,0.565410337,0.313703206
camel-1.2,ibea,camel-1.2_exp_26_train,0.384754991,0.655263027,0.23765155
camel-1.2,ibea,camel-1.2_exp_27_train,0.407407407,0.620018926,0.276313123
camel-1.2,ibea,camel-1.2_exp_28_train,0.409266409,0.578660507,0.311037998
camel-1.2,ibea,camel-1.2_exp_29_train,0.385882353,0.641480643,0.233788756
camel-1.2,ibea,camel-1.2_exp_2_train,0.450632911,0.691276849,0.3230302
camel-1.2,ibea,camel-1.2_exp_30_train,0.284210526,0.426141464,0.271721385
camel-1.2,ibea,camel-1.2_exp_31_train,0.418230563,0.653407329,0.280970139
camel-1.2,ibea,camel-1.2_exp_32_train,0.380952381,0.580346589,0.255497292
camel-1.2,ibea,camel-1.2_exp_33_train,0.3,0.463074695,0.225510254
camel-1.2,ibea,camel-1.2_exp_34_train,0.371428571,0.601623127,0.22451651
camel-1.2,ibea,camel-1.2_exp_35_train,0.39245283,0.570155309,0.286508706
camel-1.2,ibea,camel-1.2_exp_36_train,0.40625,0.574035428,0.309960247
camel-1.2,ibea,camel-1.2_exp_37_train,0.343347639,0.507590723,0.259378843
camel-1.2,ibea,camel-1.2_exp_38_train,0.412844037,0.670135956,0.271794936
camel-1.2,ibea,camel-1.2_exp_39_train,0.396226415,0.651094839,0.248313593
camel-1.2,ibea,camel-1.2_exp_3_train,0.425249169,0.620905695,0.305851817
camel-1.2,ibea,camel-1.2_exp_40_train,0.305418719,0.453710323,0.263966562
camel-1.2,ibea,camel-1.2_exp_41_train,0.438287154,0.681046205,0.306415243
camel-1.2,ibea,camel-1.2_exp_42_train,0.334801762,0.496193355,0.257102026
camel-1.2,ibea,camel-1.2_exp_43_train,0.384057971,0.57122746,0.269096542
camel-1.2,ibea,camel-1.2_exp_44_train,0.42408377,0.662383273,0.287938269
camel-1.2,ibea,camel-1.2_exp_45_train,0.336633663,0.476512811,0.305563304
camel-1.2,ibea,camel-1.2_exp_46_train,0.445182724,0.636790439,0.32996018
camel-1.2,ibea,camel-1.2_exp_47_train,0.373831776,0.51464351,0.32548394
camel-1.2,ibea,camel-1.2_exp_48_train,0.423676012,0.631900319,0.297232337
camel-1.2,ibea,camel-1.2_exp_49_train,0.402877698,0.587623946,0.290278016
camel-1.2,ibea,camel-1.2_exp_4_train,0.40433213,0.588075791,0.292607477
camel-1.2,ibea,camel-1.2_exp_50_train,0.35059761,0.52684875,0.248583069
camel-1.2,ibea,camel-1.2_exp_51_train,0.390070922,0.580109524,0.272692929
camel-1.2,ibea,camel-1.2_exp_52_train,0.421383648,0.628249273,0.295283869
camel-1.2,ibea,camel-1.2_exp_53_train,0.404145078,0.646004654,0.261199848
camel-1.2,ibea,camel-1.2_exp_54_train,0.367816092,0.597485601,0.220418098
camel-1.2,ibea,camel-1.2_exp_55_train,0.4,0.57604803,0.295449287
camel-1.2,ibea,camel-1.2_exp_56_train,0.43866171,0.60870069,0.338467452
camel-1.2,ibea,camel-1.2_exp_57_train,0.343347639,0.507590723,0.259378843
camel-1.2,ibea,camel-1.2_exp_58_train,0.40776699,0.611654584,0.281612505
camel-1.2,ibea,camel-1.2_exp_59_train,0.384858044,0.597040878,0.250775294
camel-1.2,ibea,camel-1.2_exp_5_train,0.453900709,0.704502699,0.328959866
camel-1.2,ibea,camel-1.2_exp_60_train,0.431578947,0.668207992,0.297956847
camel-1.2,ibea,camel-1.2_exp_61_train,0.436842105,0.672855431,0.30489848
camel-1.2,ibea,camel-1.2_exp_62_train,0.432989691,0.672763784,0.299469419
camel-1.2,ibea,camel-1.2_exp_63_train,0.36809816,0.587300987,0.227088321
camel-1.2,ibea,camel-1.2_exp_64_train,0.394265233,0.581457051,0.27942804
camel-1.2,ibea,camel-1.2_exp_65_train,0.443148688,0.66043986,0.316690444
camel-1.2,ibea,camel-1.2_exp_66_train,0.406504065,0.566248603,0.319583602
camel-1.2,ibea,camel-1.2_exp_67_train,0.425531915,0.63801083,0.29743962
camel-1.2,ibea,camel-1.2_exp_68_train,0.346320346,0.50833773,0.265478987
camel-1.2,ibea,camel-1.2_exp_69_train,0.409356725,0.631209372,0.274291882
camel-1.2,ibea,camel-1.2_exp_6_train,0.428571429,0.67557098,0.293230151
camel-1.2,ibea,camel-1.2_exp_70_train,0.427480916,0.594812274,0.330235355
camel-1.2,ibea,camel-1.2_exp_71_train,0.438202247,0.66296304,0.308618691
camel-1.2,ibea,camel-1.2_exp_72_train,0.395,0.642596179,0.247801399
camel-1.2,ibea,camel-1.2_exp_73_train,0.464705882,0.676679382,0.344272414
camel-1.2,ibea,camel-1.2_exp_74_train,0.428985507,0.649534,0.298483219
camel-1.2,ibea,camel-1.2_exp_75_train,0.417525773,0.658893961,0.278860364
