file_id,algorithm,f1,G
lucene-2.4_exp_13_train,SPEA2,0.6672018348623854,0.6509738514466256
lucene-2.4_exp_14_train,IBEA,0.7024193548387097,0.6045391736013231
lucene-2.4_exp_14_train,MonoGP,0.6422689075630252,0.576508745902693
lucene-2.4_exp_14_train,NSGA-II,0.7380434782608696,0.7025074858941582
lucene-2.4_exp_14_train,NSGA-III,0.6629310344827586,0.6083214332100468
lucene-2.4_exp_14_train,RS,0.5906896551724138,0.5327373549603162
lucene-2.4_exp_14_train,SPEA2,0.6754065040650407,0.5762517107642857
lucene-2.4_exp_15_train,IBEA,0.6804621848739496,0.6107156092251973
lucene-2.4_exp_15_train,MonoGP,0.6596551724137929,0.6148516624258532
lucene-2.4_exp_15_train,NSGA-II,0.6798672566371681,0.6451984694784265
lucene-2.4_exp_15_train,NSGA-III,0.7508064516129033,0.6682996706151144
lucene-2.4_exp_15_train,RS,0.6596551724137929,0.6148516624258532
lucene-2.4_exp_15_train,SPEA2,0.7318965517241379,0.6902991438591156
lucene-2.4_exp_16_train,IBEA,0.7522727272727273,0.6881923328657015
lucene-2.4_exp_16_train,MonoGP,0.6245454545454545,0.6048533566786943
lucene-2.4_exp_16_train,NSGA-II,0.7583333333333334,0.7013261293094666
lucene-2.4_exp_16_train,NSGA-III,0.6726190476190476,0.6741775007107289
lucene-2.4_exp_16_train,RS,0.5985714285714286,0.5991594895848478
lucene-2.4_exp_16_train,SPEA2,0.7222477064220183,0.7113028452234883
lucene-2.4_exp_17_train,IBEA,0.5596534653465346,0.5747991345615726
lucene-2.4_exp_17_train,MonoGP,0.6191228070175437,0.5781546342636299
lucene-2.4_exp_17_train,NSGA-II,0.725,0.6598533566786944
lucene-2.4_exp_17_train,NSGA-III,0.7206521739130434,0.6821356550152815
lucene-2.4_exp_17_train,RS,0.5019148936170214,0.5443414078567629
lucene-2.4_exp_17_train,SPEA2,0.7079268292682928,0.6188509378837671
lucene-2.4_exp_18_train,IBEA,0.6696280991735538,0.5834579213334161
lucene-2.4_exp_18_train,MonoGP,0.6424137931034484,0.5943749373373742
lucene-2.4_exp_18_train,NSGA-II,0.7290000000000001,0.6328258131342853
lucene-2.4_exp_18_train,NSGA-III,0.6972689075630253,0.631508745902693
lucene-2.4_exp_18_train,RS,0.6958064516129032,0.6132996706151144
lucene-2.4_exp_18_train,SPEA2,0.6916666666666667,0.6181772553777505
lucene-2.4_exp_19_train,IBEA,0.6736486486486487,0.6484136204664821
lucene-2.4_exp_19_train,MonoGP,0.6071681415929203,0.5698800359880042
lucene-2.4_exp_19_train,NSGA-II,0.6745726495726496,0.6161516014641545
lucene-2.4_exp_19_train,NSGA-III,0.7087606837606838,0.6573290788619564
lucene-2.4_exp_19_train,RS,0.6590756302521007,0.5972500481871801
lucene-2.4_exp_19_train,SPEA2,0.6068181818181818,0.5791454404146507
lucene-2.4_exp_1_train,IBEA,0.7892276422764228,0.7240025451861598
lucene-2.4_exp_1_train,MonoGP,0.6492452830188679,0.6486867861528767
lucene-2.4_exp_1_train,NSGA-II,0.8118852459016392,0.7580655127487634
lucene-2.4_exp_1_train,NSGA-III,0.7277027027027028,0.7089684750411089
lucene-2.4_exp_1_train,RS,0.6485714285714286,0.6222498202903336
lucene-2.4_exp_1_train,SPEA2,0.8069548872180451,0.6857763236224917
lucene-2.4_exp_20_train,IBEA,0.6861570247933884,0.6045391736013231
lucene-2.4_exp_20_train,MonoGP,0.5840350877192981,0.5373369823124526
lucene-2.4_exp_20_train,NSGA-II,0.7299180327868853,0.653841651984577
lucene-2.4_exp_20_train,NSGA-III,0.6696280991735538,0.5834579213334161
lucene-2.4_exp_20_train,RS,0.6195726495726496,0.5611516014641544
lucene-2.4_exp_20_train,SPEA2,0.7357438016528925,0.6673666756779896
lucene-2.4_exp_21_train,IBEA,0.7618421052631579,0.7347876306387404
lucene-2.4_exp_21_train,MonoGP,0.6422689075630252,0.576508745902693
lucene-2.4_exp_21_train,NSGA-II,0.7368644067796609,0.6857763236224917
lucene-2.4_exp_21_train,NSGA-III,0.7793859649122806,0.7550594532487672
lucene-2.4_exp_21_train,RS,0.6590756302521007,0.5972500481871801
lucene-2.4_exp_21_train,SPEA2,0.7707627118644067,0.7268567936669655
lucene-2.4_exp_22_train,IBEA,0.8113247863247863,0.7800972991790588
lucene-2.4_exp_22_train,MonoGP,0.57,0.589553437094359
lucene-2.4_exp_22_train,NSGA-II,0.7567073170731708,0.6821356550152815
lucene-2.4_exp_22_train,NSGA-III,0.7258547008547008,0.677862549237373
lucene-2.4_exp_22_train,RS,0.6708547008547008,0.6228625492373729
lucene-2.4_exp_22_train,SPEA2,0.6431818181818182,0.619523857009438
lucene-2.4_exp_23_train,IBEA,0.7793859649122806,0.7550594532487672
lucene-2.4_exp_23_train,MonoGP,0.6195726495726496,0.5611516014641544
lucene-2.4_exp_23_train,NSGA-II,0.6731481481481482,0.6620538948425214
lucene-2.4_exp_23_train,NSGA-III,0.7165887850467291,0.7130484254365399
lucene-2.4_exp_23_train,RS,0.6305504587155963,0.616090571661036
lucene-2.4_exp_23_train,SPEA2,0.7860619469026549,0.7667411462422645
lucene-2.4_exp_24_train,IBEA,0.7809055118110236,0.6893970429101479
lucene-2.4_exp_24_train,MonoGP,0.7218796992481203,0.5863181489909978
lucene-2.4_exp_24_train,NSGA-II,0.7563432835820896,0.6021193752515018
lucene-2.4_exp_24_train,NSGA-III,0.7083333333333334,0.6390433049287884
lucene-2.4_exp_24_train,RS,0.6918045112781954,0.5412000456960054
lucene-2.4_exp_24_train,SPEA2,0.6916666666666667,0.5975983343138682
lucene-2.4_exp_25_train,IBEA,0.6629310344827586,0.6083214332100468
lucene-2.4_exp_25_train,MonoGP,0.5737735849056604,0.5685454847553957
lucene-2.4_exp_25_train,NSGA-II,0.6804621848739496,0.6107156092251973
lucene-2.4_exp_25_train,NSGA-III,0.725,0.6598533566786944
lucene-2.4_exp_25_train,RS,0.6926890756302522,0.6385964339744795
lucene-2.4_exp_25_train,SPEA2,0.7267543859649123,0.6941941957693144
lucene-2.4_exp_26_train,IBEA,0.6861570247933884,0.6045391736013231
lucene-2.4_exp_26_train,MonoGP,0.6529268292682927,0.5638509378837671
lucene-2.4_exp_26_train,NSGA-II,0.7476890756302522,0.6935964339744796
lucene-2.4_exp_26_train,NSGA-III,0.7199152542372881,0.6651843996644798
lucene-2.4_exp_26_train,RS,0.598099173553719,0.5072937057043607
lucene-2.4_exp_26_train,SPEA2,0.6975663716814161,0.665496608607528
lucene-2.4_exp_27_train,IBEA,0.6861570247933884,0.6045391736013231
lucene-2.4_exp_27_train,MonoGP,0.5414285714285714,0.5005538662925612
lucene-2.4_exp_27_train,NSGA-II,0.7308823529411765,0.6729444938983051
lucene-2.4_exp_27_train,NSGA-III,0.6418224299065421,0.6328258131342853
lucene-2.4_exp_27_train,RS,0.5826126126126127,0.5529786054206867
lucene-2.4_exp_27_train,SPEA2,0.7554347826086957,0.722857577103546
lucene-2.4_exp_28_train,IBEA,0.7206521739130434,0.6821356550152815
lucene-2.4_exp_28_train,MonoGP,0.641875,0.5106321177707571
lucene-2.4_exp_28_train,NSGA-II,0.7299180327868853,0.653841651984577
lucene-2.4_exp_28_train,NSGA-III,0.7206521739130434,0.6821356550152815
lucene-2.4_exp_28_train,RS,0.6251724137931035,0.5738659936978254
lucene-2.4_exp_28_train,SPEA2,0.7368644067796609,0.6857763236224917
lucene-2.4_exp_29_train,IBEA,0.6916666666666667,0.6686103683732022
lucene-2.4_exp_29_train,MonoGP,0.6699999999999999,0.6048533566786943
lucene-2.4_exp_29_train,NSGA-II,0.6975663716814161,0.665496608607528
lucene-2.4_exp_29_train,NSGA-III,0.6857142857142857,0.6570128352418453
lucene-2.4_exp_29_train,RS,0.5571559633027523,0.5355723217940639
lucene-2.4_exp_29_train,SPEA2,0.7165887850467291,0.7130484254365399
lucene-2.4_exp_2_train,IBEA,0.8153225806451613,0.752315890544229
lucene-2.4_exp_2_train,MonoGP,0.6310169491525425,0.5688794013697966
lucene-2.4_exp_2_train,NSGA-II,0.7600427350427351,0.7188353097278849
lucene-2.4_exp_2_train,NSGA-III,0.7371212121212121,0.590218728560505
lucene-2.4_exp_2_train,RS,0.6063636363636363,0.5846941194251151
lucene-2.4_exp_2_train,SPEA2,0.725,0.6598533566786944
lucene-2.4_exp_30_train,IBEA,0.7618421052631579,0.7347876306387404
lucene-2.4_exp_30_train,MonoGP,0.5971186440677966,0.5273829291502536
lucene-2.4_exp_30_train,NSGA-II,0.7380434782608696,0.7025074858941582
lucene-2.4_exp_30_train,NSGA-III,0.7476890756302522,0.6935964339744796
lucene-2.4_exp_30_train,RS,0.6086554621848739,0.5348649139852637
lucene-2.4_exp_30_train,SPEA2,0.725,0.6598533566786944
lucene-2.4_exp_3_train,IBEA,0.7691860465116278,0.6598533566786944
lucene-2.4_exp_3_train,MonoGP,0.7113793103448276,0.6761165341330633
lucene-2.4_exp_3_train,NSGA-II,0.7634615384615385,0.6445534370943591
lucene-2.4_exp_3_train,NSGA-III,0.7919172932330828,0.6636210654636272
lucene-2.4_exp_3_train,RS,0.7001587301587301,0.6061117391953266
lucene-2.4_exp_3_train,SPEA2,0.6510869565217391,0.6003847173594479
lucene-2.4_exp_4_train,IBEA,0.7240291262135924,0.7347876306387404
lucene-2.4_exp_4_train,MonoGP,0.6181481481481481,0.6070538948425214
lucene-2.4_exp_4_train,NSGA-II,0.7571428571428572,0.7378791772183246
lucene-2.4_exp_4_train,NSGA-III,0.7644957983193277,0.7142096894281155
lucene-2.4_exp_4_train,RS,0.6176190476190475,0.6191775007107289
lucene-2.4_exp_4_train,SPEA2,0.7663793103448276,0.7311165341330633
lucene-2.4_exp_5_train,IBEA,0.7788461538461539,0.666432323655168
lucene-2.4_exp_5_train,MonoGP,0.7028244274809159,0.5738659936978254
lucene-2.4_exp_5_train,NSGA-II,0.6978971962616822,0.6929981372694402
lucene-2.4_exp_5_train,NSGA-III,0.7214285714285714,0.6974723878012078
lucene-2.4_exp_5_train,RS,0.6602654867256638,0.6307763236224918
lucene-2.4_exp_5_train,SPEA2,0.714655172413793,0.6698516624258533
lucene-2.4_exp_6_train,IBEA,0.8076086956521741,0.7837948946343477
lucene-2.4_exp_6_train,MonoGP,0.6537606837606837,0.6023290788619563
lucene-2.4_exp_6_train,NSGA-II,0.7772935779816513,0.7715768876548001
lucene-2.4_exp_6_train,NSGA-III,0.7600427350427351,0.7188353097278849
lucene-2.4_exp_6_train,RS,0.6115094339622641,0.6086210654636272
lucene-2.4_exp_6_train,SPEA2,0.7860619469026549,0.7667411462422645
lucene-2.4_exp_7_train,IBEA,0.6798672566371681,0.6451984694784265
lucene-2.4_exp_7_train,MonoGP,0.6796774193548387,0.5921295539734703
lucene-2.4_exp_7_train,NSGA-II,0.7308823529411765,0.6729444938983051
lucene-2.4_exp_7_train,NSGA-III,0.6809999999999999,0.5682144762551112
lucene-2.4_exp_7_train,RS,0.6115094339622641,0.6086210654636272
lucene-2.4_exp_7_train,SPEA2,0.725,0.6598533566786944
lucene-2.4_exp_8_train,IBEA,0.5773809523809523,0.5740714054079901
lucene-2.4_exp_8_train,MonoGP,0.578695652173913,0.5248665148126131
lucene-2.4_exp_8_train,NSGA-II,0.7318965517241379,0.6902991438591156
lucene-2.4_exp_8_train,NSGA-III,0.7267543859649123,0.6941941957693144
lucene-2.4_exp_8_train,RS,0.652170542635659,0.5168824077010147
lucene-2.4_exp_8_train,SPEA2,0.5990740740740742,0.5816651143912002
lucene-2.4_exp_9_train,IBEA,0.7429487179487181,0.6983636703498202
lucene-2.4_exp_9_train,MonoGP,0.6485714285714286,0.6222498202903336
